event,id,sample.id,date,storm.interval,time,date.time,q,turb,srp,bap,tp
Storm,Storm 2-Below,1,2/19/2018,rising,8:00, 2/19/2018 08:00,345.38,214,107.5,391.6503213,297
Storm,Storm 2-Below,2,2/19/2018,rising,9:00, 2/19/2018 09:00,368.03,210,89.86,89.75822667,169.9
Storm,Storm 2-Below,3,2/19/2018,rising,10:00, 2/19/2018 10:00,396.34,284,101.6,286.3450573,822
Storm,Storm 2-Below,4,2/19/2018,rising,11:00, 2/19/2018 11:00,478.44,1070,99.15,547.5017467,1015
Storm,Storm 2-Below,5,2/19/2018,rising,12:00, 2/19/2018 12:00,758.708,3550,227,601.7854333,1198.5
Storm,Storm 2-Below,6,2/19/2018,rising,13:00, 2/19/2018 13:00,1152.217,4450,306.6,423.12086,1595
Storm,Storm 2-Below,7,2/19/2018,rising,14:00, 2/19/2018 14:00,1438.148,3404,309.9,120.5678867,550.64
Storm,Storm 2-Below,8,2/19/2018,rising,15:00, 2/19/2018 15:00,1661.797,3168,300.9,433.4326483,698.64
Storm,Storm 2-Below,9,2/19/2018,rising,16:00, 2/19/2018 16:00,1760.882,2052,264.9,303.2251567,650.4
Storm,Storm 2-Below,10,2/19/2018,falling,17:00, 2/19/2018 17:00,1772.206,1860,265.5,,415.5
Storm,Storm 2-Below,11,2/19/2018,falling,18:00, 2/19/2018 18:00,1738.234,1458,238.8,431.291096,359.8
Storm,Storm 2-Below,12,2/19/2018,falling,19:00, 2/19/2018 19:00,1681.614,1182,252.5,306.15941,381.45
Storm,Storm 2-Below,13,2/19/2018,falling,20:00, 2/19/2018 20:00,1596.684,1054,321.7,100.7616767,365.6
Storm,Storm 2-Below,14,2/19/2018,falling,21:00, 2/19/2018 21:00,1542.895,908,321.2,558.0810547,566
Storm,Storm 2-Below,15,2/19/2018,falling,22:00, 2/19/2018 22:00,1511.754,908,364.8,80.95546667,406.8
Storm,Storm 2-Below,16,2/19/2018,falling,23:00, 2/19/2018 23:00,1469.289,851,340.2,,571.5
Storm,Storm 2-Below,17,2/19/2018,falling,0:00, 2/19/2018 00:00,1438.148,745,265.1,399.3219533,498.15
Storm,Storm 2-Below,18,2/20/2018,falling,1:00, 2/20/2018 01:00,1387.19,688,307.5,323.8676227,430.4
Storm,Storm 2-Below,19,2/20/2018,falling,2:00, 2/20/2018 02:00,1336.232,651,302.1,263.9795183,394.7
Storm,Storm 2-Below,20,2/20/2018,falling,3:00, 2/20/2018 03:00,1316.415,639,214,,802
Storm,Storm 2-Below,21,2/20/2018,falling,4:00, 2/20/2018 04:00,1296.598,577,232.3,,333.55
Storm,Storm 2-Below,22,2/20/2018,falling,5:00, 2/20/2018 05:00,1288.105,514,302.5,347.4705267,322.65
Storm,Storm 2-Below,23,2/20/2018,rising,6:00, 2/20/2018 06:00,1276.781,543,304.2,,553
Storm,Storm 2-Below,24,2/20/2018,rising,7:00, 2/20/2018 07:00,1288.105,492,229.2,189.52284,339.95
Storm,Storm 2-Below,25,2/20/2018,rising,8:00, 2/20/2018 08:00,1296.598,,210.3,276.0833133,561.5
Storm,Storm 2-Below,26,2/20/2018,rising,9:00, 2/20/2018 09:00,1336.232,,280.9,,582
Storm,Storm 2-Below,27,2/20/2018,rising,10:00, 2/20/2018 10:00,1426.824,,328.3,375.8479267,771
Storm,Storm 2-Below,28,2/20/2018,rising,11:00, 2/20/2018 11:00,1554.219,,403.4,,840
Storm,Storm 2-Below,29,2/20/2018,rising,12:00, 2/20/2018 12:00,1760.882,,370.2,,945
Storm,Storm 2-Below,30,2/20/2018,rising,13:00, 2/20/2018 13:00,2060.968,,322.6,538.6989867,1171.8
Storm,Storm 2-Below,31,2/20/2018,rising,14:00, 2/20/2018 14:00,2406.35,,,,586.88
Storm,Storm 2-Below,32,2/20/2018,rising,15:00, 2/20/2018 15:00,2734.746,,301.4,617.557045,1063.3
Storm,Storm 2-Below,33,2/21/2018,falling,11:00, 2/21/2018 11:00,3425.51,390,275.1,248.2079067,477.75
Storm,Storm 2-Below,34,2/21/2018,falling,12:00, 2/21/2018 12:00,3397.2,394,239.6,,648.97
Storm,Storm 2-Below,35,2/21/2018,falling,13:00, 2/21/2018 13:00,3368.89,294,214.7,,432.15
Storm,Storm 2-Below,36,2/21/2018,falling,14:00, 2/21/2018 14:00,3397.2,238,232.6,,406.1
Storm,Storm 2-Below,37,2/21/2018,falling,15:00, 2/21/2018 15:00,3397.2,240,251.2,239.4051467,412.55
